Draft Position,Name,Position,School
1,Cameron Ward,QB,Cameron WardQB |Miami (FL)#1
2,Travis Hunter,QB,Travis HunterCB |Colorado#2
3,Abdul Carter,QB,Abdul CarterEDGE |Penn State#3
4,Mason Graham,QB,Mason GrahamDL |Michigan#5
5,Will Campbell,QB,Will CampbellOT |LSU#4
6,Shedeur Sanders,QB,Shedeur SandersQB |Colorado#9
7,Ashton Jeanty,QB,Ashton JeantyRB |Boise State#6
8,Armand Membou,QB,Armand MembouOT |Missouri#7
9,Tyler Warren,QB,Tyler WarrenTE |Penn State#10
10,Jalon Walker,QB,Jalon WalkerEDGE |Georgia#8
11,Tetairoa McMillan,QB,Tetairoa McMillanWR |Arizona#12
12,Will Johnson,QB,Will JohnsonCB |Michigan#11
13,Kelvin Banks,QB,Kelvin BanksOT |Texas#13
14,Jahdae Barron,QB,Jahdae BarronCB |Texas#16
15,Mykel Williams,QB,Mykel WilliamsEDGE |Georgia#17
16,Shemar Stewart,QB,Shemar StewartEDGE |Texas A&M#29
17,Colston Loveland,QB,Colston LovelandTE |Michigan#14
18,Mike Green,QB,Mike GreenEDGE |Marshall#15
19,Jihaad Campbell,QB,Jihaad CampbellLB |Alabama#19
20,Matthew Golden,QB,Matthew GoldenWR |Texas--
21,Malaki Starks,QB,Malaki StarksS |Georgia#24
22,Omarion Hampton,QB,Omarion HamptonRB |North Carolina#20
23,Josh Simmons,QB,Josh SimmonsOT |Ohio State#25
24,Nick Emmanwori,QB,Nick EmmanworiS |South Carolina#32
25,Jaxson Dart,QB,Jaxson DartQB |Mississippi#21
26,Kenneth Grant,QB,Kenneth GrantDL |Michigan#22
27,Derrick Harmon,QB,Derrick HarmonDL |Oregon#23
28,Grey Zabel,QB,Grey ZabelIOL |North Dakota State#18
29,Walter Nolen,QB,Walter NolenDL |Mississippi#30
30,Tyler Booker,QB,Tyler BookerIOL |Alabama--
31,James Pearce Jr.,QB,James Pearce Jr.EDGE |Tennessee#27
32,Donovan Ezeiruaku,QB,Donovan EzeiruakuEDGE |Boston College#28
33,Emeka Egbuka,QB,Emeka EgbukaWR |Ohio State--
34,Josh Conerly Jr.,QB,Josh Conerly Jr.OT |Oregon#31
35,Luther Burden,QB,Luther BurdenWR |Missouri--
36,Maxwell Hairston,QB,Maxwell HairstonCB |Kentucky#26
37,Shavon Revel Jr.,QB,Shavon Revel Jr.CB |East Carolina--
38,Donovan Jackson,QB,Donovan JacksonIOL |Ohio State--
39,Trey Amos,QB,Trey AmosCB |Mississippi--
40,Nic Scourton,QB,Nic ScourtonEDGE |Texas A&M--
41,Jalen Milroe,QB,Jalen MilroeQB |Alabama--
42,TreVeyon Henderson,QB,TreVeyon HendersonRB |Ohio State--
43,Azareye'h Thomas,QB,Azareye'h ThomasCB |Florida State--
44,Tyleik Williams,QB,Tyleik WilliamsDL |Ohio State--
45,Mason Taylor,QB,Mason TaylorTE |LSU--
46,Benjamin Morrison,QB,Benjamin MorrisonCB |Notre Dame--
47,Aireontae Ersery,QB,Aireontae ErseryOT |Minnesota--
48,Carson Schwesinger,QB,Carson SchwesingerLB |UCLA--
49,Jayden Higgins,QB,Jayden HigginsWR |Iowa State--
50,Landon Jackson,QB,Landon JacksonEDGE |Arkansas--
51,Xavier Watts,QB,Xavier WattsS |Notre Dame--
52,Darius Alexander,QB,Darius AlexanderDL |Toledo--
53,J.T. Tuimoloau,QB,J.T. TuimoloauEDGE |Ohio State--
54,Quinshon Judkins,QB,Quinshon JudkinsRB |Ohio State--
